source_wallet,txn_count,No_Days_Active,initial_funding,Last_txn_out,current_balance,first_transaction_date,last_trasaction_date
0x476531bef701ccc08dd9949650e7a34def61aa36,1,1,29.0,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,2.0168827623531254,2022-12-30 00:00:00,2022-12-30 00:00:00
0x0647cafb2ace5a605dbfcde037ac270537edc3e5,4,2,340.47787286634923,0x8bb9b9ac191640a6a0c0c97fb7d0e580f56af4fd,7.35e-06,2022-12-29 00:00:00,2023-01-01 00:00:00
0x69b54d1473d90521827cfe3876d8f0faeaba3241,4,1,346.5841129207397,0x69b54d1473d90521827cfe3876d8f0faeaba3241,0.0003519269129553,2023-01-01 00:00:00,2023-01-01 00:00:00
0xa49cee842116a89299a721d831bcf0511e8f6a15,3,1,24.9,0x36dc76a9885caa651db28479c06a9a8147462efc,0.3001541853397725,2022-12-27 00:00:00,2022-12-27 00:00:00
0xf6eb8c9269e1c67ab0e6a54a1f98b866cf94d137,5,4,2.0,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.3948555344279423,2022-02-18 00:00:00,2022-12-27 00:00:00
0x73359873c377ca981cee66241f73c66997778190,1,1,8.31,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,2.344923725761864,2022-12-28 00:00:00,2022-12-28 00:00:00
0x4e8a818c587ea7bbf11ca69e78f6eb3af13c68a0,2,1,156.9,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,6.499715174640862,2022-12-16 00:00:00,2022-12-16 00:00:00
0x954b2e458cf6374d25c64d0cd6ae1237c2811cb7,1,1,3.0,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.5049901799902005,2022-12-31 00:00:00,2022-12-31 00:00:00
0xdc0cc129861699013522b4133974c16a0f63d1e7,3,1,2.0,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,1.6964691033615962,2022-12-20 00:00:00,2022-12-20 00:00:00
0x0af1df82f0e394223e4353a0028ee009d53683b5,1,1,32.0,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.8609215371435361,2022-12-30 00:00:00,2022-12-30 00:00:00
0x636c35a1077645c1c428a166ea75ba3ec4ca1d90,2,2,0.5,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.4945681111556236,2022-02-04 00:00:00,2022-12-20 00:00:00
0xa5e4e50aa844ea48253b38ee993f9a52a2887eb5,11,4,15.3159,0xaf5191b0de278c7286d6c7cc6ab6bb8a73ba2cd6,0.0149768842248711,2022-11-15 00:00:00,2022-12-21 00:00:00
0x24eadb644fb3cbd87906371cdc055216176ef895,4,2,1.21832301,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.6162904978965406,2022-02-19 00:00:00,2022-12-25 00:00:00
0xfa52afc6d1a91478d4b3367d6d80d0fe01ee3f82,5,2,9.9,0x1872dbd61a28b5fcb8391f5bd00f9319a6e315b5,13.895444773144115,2022-12-21 00:00:00,2022-12-29 00:00:00
0xa3f1005a85f433bc900227447cc93f3ffd60a449,6,3,5.0,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,3.7222429137721633,2022-02-07 00:00:00,2023-01-01 00:00:00
0x297c97473850f875d216ba066b9a1db879192a7f,2,1,2.0,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,1.684366762818281,2022-12-20 00:00:00,2022-12-20 00:00:00
0x2013b2bddf4b096c8f45ee1f753a402e3a613a93,2,1,2.0,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,1.6883531881186595,2022-12-20 00:00:00,2022-12-20 00:00:00
0x07ac7fb4000fed898212f0b28d03df0365f7b1bf,29,12,1.0,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.9625442355225916,2022-03-11 00:00:00,2022-12-17 00:00:00
0xb11269f9768a60941ac42ec046424ad891147330,1,1,8.0,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.9369917928572054,2022-12-26 00:00:00,2022-12-26 00:00:00
0xf36cd9c2a88800e86b11ca3fd839c99c0928c41a,2,1,0.11,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.005149245,2022-12-15 00:00:00,2022-12-15 00:00:00
0x1f14c2f40400471fb4a3aef1390f6bbbf2ad8f99,13,7,0.0944630728,0xef416d88d1ae9be9b659ba9713666b31e884b839,6.525350891285089,2021-10-06 00:00:00,2023-01-23 00:00:00
0x1ee602b32500cca56653550d3c7d9eb3d36c4f6e,1,1,3.248,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,1.6722753263606354,2022-12-25 00:00:00,2022-12-25 00:00:00
0x0b5ba3f1234e239acd7c196c7d23c873ca45172a,5,3,0.0,0x752b133f3625a310d0442ca760b49af4029fce89,0.0,2022-12-17 00:00:00,2022-12-30 00:00:00
0x323d8f31373cba9b69f6f4879dcee65b6f2cc199,1,1,5.0,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,1.208511440224288,2022-12-21 00:00:00,2022-12-21 00:00:00
0x36908e47864907759c7d1493a481ef3a8118d33f,3,2,10.9,0x36908e47864907759c7d1493a481ef3a8118d33f,10.319740329994328,2023-01-01 00:00:00,2023-01-02 00:00:00
0xb67481db68fabf1ec8caca24c7e0cf1d9f0e13c5,2,1,5.0,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.4960746722261969,2022-12-25 00:00:00,2022-12-25 00:00:00
0x23cc2b5e2c80bd8ad7518d685e8e15d7116c8afd,2,1,25.03763,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,1.0073536150588969,2022-12-30 00:00:00,2022-12-30 00:00:00
0xc2f7e3852ca0bc34e3500e199fd6e2b7d4f4c1bf,2329,16,0.0,0x399d73bb7c83a011cd85df2a3cdf997ed3b3439f,59.01038662688619,2022-12-06 00:00:00,2023-01-24 00:00:00
0xe07daf4e80202724674b2868f2d4417df1f85288,1,1,4.0,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,12.51822020475383,2022-12-16 00:00:00,2022-12-16 00:00:00
0x3e9f44209e3217a81f7913a6cd910b9a379a7895,4,1,24.9,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,5.559382750732435,2022-12-19 00:00:00,2022-12-19 00:00:00
0xf4ae277cf9ed58f13a27024ca9a11331b0690226,6,4,9.99,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,3.857763136028886,2022-02-08 00:00:00,2022-12-21 00:00:00
0xc14bcc7f008b983b2faf63f1e8eeec42388556db,4,3,0.019,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.0517298146716946,2022-02-17 00:00:00,2022-12-31 00:00:00
